train/learning_rate,train/policy_loss,time/fps,train/n_updates,time/total_timesteps,train/entropy_loss,train/explained_variance,train/value_loss,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
0.0007,0.046795766800642014,800,4199,252000,-3.386796712875366,-0.031094908714294434,0.03502453863620758,4200,314,3859.65,178.63
0.0007,0.28602054715156555,802,4299,258000,-1.250553846359253,0.9970023068599403,1.303633213043213,4300,321,3823.01,180.92
0.0007,0.30343949794769287,802,4399,264000,-1.8644087314605713,0.8874237984418869,0.17179706692695618,4400,329,3743.35,183.0
0.0007,-0.029846379533410072,803,4499,270000,-0.12505918741226196,0.9984526624903083,0.6066595911979675,4500,336,3804.73,178.93
0.0007,0.1941314935684204,804,4599,276000,-1.5382765531539917,0.2330716848373413,0.35576969385147095,4600,342,3916.71,170.52
0.0007,-0.09195650368928909,804,4699,282000,-1.3564189672470093,0.42697304487228394,0.06668566912412643,4700,350,4012.53,167.63
0.0007,-0.012812974862754345,805,4799,288000,-0.8633138537406921,0.8541876375675201,0.003115872386842966,4800,357,4122.48,161.26
0.0007,-0.31180498003959656,806,4899,294000,-5.354640483856201,-0.003363966941833496,0.12355837225914001,4900,364,4168.21,155.02
0.0007,0.05362705513834953,806,4999,300000,-1.2966454029083252,0.19290846586227417,0.08075941354036331,5000,372,4319.28,146.97
0.0007,-0.0648328959941864,807,5099,306000,-0.4013919234275818,0.23602283000946045,0.06967997550964355,5100,378,4342.63,148.09
0.0007,0.08808646351099014,809,5199,312000,-5.229748725891113,0.29835671186447144,0.061766501516103745,5200,385,4342.63,148.09
0.0007,0.20021189749240875,809,5299,318000,-2.5225608348846436,0.188865065574646,0.08071020245552063,5300,392,4618.89,130.49
0.0007,0.34951674938201904,811,5399,324000,-1.8340446949005127,0.2281234860420227,0.2004673182964325,5400,399,4817.04,126.14
0.0007,0.13642723858356476,813,5499,330000,-7.744163513183594,0.13428360223770142,0.13425517082214355,5500,405,4817.04,126.14
0.0007,0.557992696762085,814,5599,336000,-1.3144313097000122,0.7762571424245834,2.3747899532318115,5600,412,4858.61,121.06
0.0007,0.2512756884098053,814,5699,342000,-3.303616523742676,0.19888794422149658,0.06052492558956146,5700,419,5251.6,90.8
0.0007,-0.27819007635116577,816,5799,348000,-3.8862669467926025,0.11742734909057617,0.2534109055995941,5800,426,5262.64,90.91
0.0007,-0.01628069207072258,815,5899,354000,-0.985961377620697,-0.011752724647521973,0.022907130420207977,5900,434,5250.96,97.67
0.0007,-0.03803208842873573,816,5999,360000,-1.0302274227142334,0.19377321004867554,0.0980517789721489,6000,441,5282.92,99.54
0.0007,-0.03595109283924103,817,6099,366000,-0.15808561444282532,0.9954138295724988,0.4803411066532135,6100,447,5212.37,102.64
0.0007,0.21218839287757874,817,6199,372000,-2.5277767181396484,0.3011763095855713,0.06078534573316574,6200,454,5238.65,96.9
0.0007,0.393879234790802,817,6299,378000,-2.2323970794677734,0.05623364448547363,0.13705267012119293,6300,462,5280.8,92.39
0.0007,-1.2143232197558973e-05,817,6399,384000,-0.009679058566689491,0.8637840300798416,0.1097119078040123,6400,469,5326.54,88.55
0.0007,-0.008399027399718761,818,6499,390000,-2.9269051551818848,0.5008762776851654,0.3323427736759186,6500,476,5385.29,76.63
0.0007,-0.12196490168571472,818,6599,396000,-0.9359014630317688,0.7248552739620209,0.13803328573703766,6600,483,5333.78,76.24
0.0007,-0.1938464492559433,818,6699,402000,-5.886927127838135,0.06536442041397095,0.12928268313407898,6700,491,5146.56,84.76
0.0007,-0.05795317888259888,817,6799,408000,-5.775908470153809,0.9697236586362123,0.07762852311134338,6800,499,4885.3,97.05
0.0007,0.1028192937374115,816,6899,414000,-0.4320791959762573,0.29493236541748047,0.11159426718950272,6900,507,4828.36,99.66
0.0007,-0.054477594792842865,816,6999,420000,-4.1737871170043945,0.5929007828235626,0.06941284239292145,7000,514,4760.47,103.33
0.0007,0.5788940787315369,816,7099,426000,-5.41763973236084,-0.0022040605545043945,0.2692524790763855,7100,522,4683.93,106.1
0.0007,0.010989531874656677,817,7199,432000,-1.1082403659820557,0.8396127820014954,0.006063734646886587,7200,528,4352.67,122.23
0.0007,-0.06852200627326965,817,7299,438000,-0.37337300181388855,0.7248077988624573,0.10981220752000809,7300,535,4277.87,127.04
0.0007,0.00029888207791373134,819,7399,444000,-0.003026422578841448,0.9934849441051483,0.9733889698982239,7400,541,4237.64,125.44
0.0007,-0.2590157091617584,820,7499,450000,-0.6136161684989929,0.9697564858943224,0.6306001543998718,7500,548,4161.34,126.33
0.0007,0.03518853336572647,821,7599,456000,-0.71286940574646,0.36357206106185913,0.1569669097661972,7600,555,4221.02,117.67
0.0007,-0.5032576322555542,821,7699,462000,-1.4079651832580566,0.1852051019668579,0.23990954458713531,7700,562,4224.65,115.45
0.0007,0.07424742728471756,820,7799,468000,-3.407750368118286,0.3989136815071106,0.08823579549789429,7800,570,4265.7,116.81
0.0007,0.3084593713283539,820,7899,474000,-0.5230429172515869,0.999098826374393,0.27832093834877014,7900,577,4278.68,114.83
0.0007,-0.3298865556716919,819,7999,480000,-5.358702659606934,0.06962519884109497,0.07254625856876373,8000,585,4289.93,116.92
0.0007,-0.016423633322119713,821,8099,486000,-1.2929329872131348,0.49151545763015747,0.05623504891991615,8100,591,4349.09,113.21
0.0007,0.2561841607093811,821,8199,492000,-6.307580947875977,0.9691275972872972,0.10795599967241287,8200,598,4427.36,110.01
0.0007,0.4433104395866394,822,8299,498000,-3.6317293643951416,0.16570419073104858,0.1279471218585968,8300,605,4525.34,103.81
